title,genre,runtime,description
Winchester (2018),Biography|Fantasy|Horror|Mystery|Thriller,99 min,Eccentric firearm heiress believes she is haunted by the souls of people killed by the Winchester repeating rifle.
A Fantastic Woman (2017),Drama,104 min,"Marina, a waitress who moonlights as a nightclub singer, is bowled over by the death of her older boyfriend."
The Cage Fighter (2017),Documentary|Action|Drama,81 min,"A blue-collar family man breaks the promise he'd made to never fight again. Now forty years old, with a wife and four children who need him, Joe Carman risks everything to go back into the fighting cage and come to terms with his past."
Bilal: A New Breed of Hero (2015),Animation|Action|Adventure,105 min,"A thousand years ago, one boy with a dream of becoming a great warrior is abducted with his sister and taken to a land far away from home. Thrown into a world where greed and injustice rule all, Bilal finds the courage to raise his voice and make a change. Inspired by true events, this is a story of a real hero who earned his remembrance in time and history."
A Ciambra (2017),Drama,118 min,"In A CIAMBRA, a small Romani community in Calabria, Pio Amato is desperate to grow up fast. At 14, he drinks, smokes and is one of the few to easily slide between the region's factions - the local Italians, the African refugees and his fellow Romani. Pio follows his older brother Cosimo everywhere, learning the necessary skills for life on the streets of their hometown. When Cosimo disappears and things start to go wrong, Pio sets out to prove he's ready to step into his big brother's shoes but soon finds himself faced with an impossible decision that will show if he is truly ready to become a man."
Fifty Shades Freed (2018),Drama|Romance|Thriller,101 min,The third installment of the 'Fifty Shades of Grey' trilogy.
The 15:17 to Paris (2018),Drama|History|Thriller,94 min,American soldiers discover a terrorist plot on a Paris-bound train.
Peter Rabbit (2018),Animation|Adventure|Comedy|Family|Fantasy,"",Feature adaptation of Beatrix Potter's classic tale of a rebellious rabbit trying to sneak into a farmer's vegetable garden.
Aiyaary (2018),Action|Crime|Drama|Thriller,"","Witness the story of two Indian Army officers, a mentor and his protégé on this Republic Day."
Padman (2018),Biography|Comedy|Drama,140 min,"Biography on Tamil Nadu activist Arunachalam Muruganantham, whose mission was to provide sanitary napkin's to poor women of rural areas. Who would use rag cloths or leaves during periods where use of sanitary napkins was rare. After he did not get fruitful results from his family and a medical college he approached, he decided to try it himself by making a uterus out of football bladder and filling goat's blood in it. He would roam around the whole day with the bladder, the aim was to check the absorption rate of the sanitary napkins made by him."
Before We Vanish (2017),Drama|Sci-Fi,129 min,"Three aliens travel to Earth in preparation for a mass invasion, taking possession of human bodies."
La Boda de Valentina (2018),Comedy|Romance,"",""
Black Panther (2018),Action|Adventure|Sci-Fi,"","T'Challa, after the death of his father, the King of Wakanda, returns home to the isolated, technologically advanced African nation to succeed to the throne and take his rightful place as king."
Early Man (2018),Animation|Adventure|Comedy|Family|Fantasy,89 min,"Set at the dawn of time, when prehistoric creatures and woolly mammoths roamed the earth, Early Man tells the story of Dug, along with sidekick Hognob as they unite his tribe against a mighty enemy Lord Nooth and his Bronze Age City to save their home."
Samson (2018),Action|Drama,"","After losing the love of his life to a cruel Philistine prince, a young Hebrew with Supernatural strength defends his people, sacrificing everything to avenge his love, his people, and his God."
The Party (2017),Comedy|Drama,71 min,"Janet hosts a party to celebrate her new promotion, but once the guests arrive it becomes clear that not everything is going to go down as smoothly as the red wine."
Loveless (2017),Adventure|Drama,127 min,A couple going through a divorce must team up to find their son who has disappeared during one of their bitter arguments.
Nostalgia (2018),Drama,"","A mosaic of stories about love and loss, 'Nostalgia' explores our relationships to the objects, artifacts, and memories that shape our lives."
Oh Lucy! (2017),Comedy|Drama,95 min,"A lonely woman living in Tokyo decides to take an English class where she discovers her alter ego, Lucy."
Double Lover (2017),Drama|Romance|Thriller,107 min,"Chloé, a fragile young woman, falls in love with her psychoanalyst, Paul. A few months later she moves in with him, but soon discovers that her lover is concealing a part of his identity."
Tehran Taboo (2017),Animation|Drama,90 min,"In their desperate search for freedom and happiness, four young people from Tehran, Iran are forced to break the taboos of a restrictive, islamic society."
Annihilation (2018),Adventure|Drama|Fantasy|Horror|Mystery|Sci-Fi|Thriller,"","A biologist signs up for a dangerous, secret expedition where the laws of nature don't apply."
Game Night (2018),Action|Comedy|Crime|Mystery,"",A group of friends who meet regularly for game nights find themselves trying to solve a murder mystery.
Hannah (2017),Drama,95 min,Intimate portrait of a woman drifting between reality and denial when she is left alone to grapple with the consequences of her husband's imprisonment.
The Lodgers (2017),Horror,92 min,"1920, rural Ireland. Anglo Irish twins Rachel and Edward share a strange existence in their crumbling family estate. Each night, the property becomes the domain of a sinister presence (The Lodgers) which enforces three rules upon the twins: they must be in bed by midnight; they may not permit an outsider past the threshold; if one attempts to escape, the life of the other is placed in jeopardy. When troubled war veteran Sean returns to the nearby village, he is immediately drawn to the mysterious Rachel, who in turn begins to break the rules set out by The Lodgers. The consequences pull Rachel into a deadly confrontation with her brother - and with the curse that haunts them."
Beast of Burden (2018),Action|Crime|Drama|Thriller,"","Sean Haggerty only has an hour to deliver his illegal cargo. An hour to reassure a drug cartel, a hitman, and the DEA that nothing is wrong. An hour to make sure his wife survives. And he must do it all from the cockpit of his Cessna."
